
CHEMBL1230609	-6.2
CHEMBL1231124	-5.6
CHEMBL1276446	-6.9
CHEMBL175321	-6.0
CHEMBL176544	-5.9
CHEMBL176857	-6.1
CHEMBL1774056	-5.8
CHEMBL1794056	-6.3
CHEMBL1794057	-6.4
CHEMBL1794058	-6.2
CHEMBL1967116	-6.5
CHEMBL1970083	-6.4
CHEMBL1970142	-6.3
CHEMBL1980995	-6.9
CHEMBL1982476	-6.0
CHEMBL1983268	-7.8
CHEMBL2005886	-6.8
CHEMBL2007421	-5.8
CHEMBL2010872	-7.2
CHEMBL2037208	-7.9
CHEMBL2037209	-8.3
CHEMBL2037211	-8.0
CHEMBL2037213	-7.9
CHEMBL2037221	-7.5
CHEMBL2037222	-8.2
CHEMBL2037224	-7.6
CHEMBL2037225	-7.8
CHEMBL2037226	-7.9
CHEMBL209466	-5.4
CHEMBL211095	-6.3
CHEMBL211160	-5.4
CHEMBL211168	-6.3
CHEMBL2113063	-7.0
CHEMBL2113064	-6.9
CHEMBL211883	-6.0
CHEMBL2151319	-5.7
CHEMBL2151321	-5.9
CHEMBL2151322	-5.9
CHEMBL2151323	-5.7
CHEMBL2152283	-6.2
CHEMBL2152285	-6.4
CHEMBL2152286	-6.6
CHEMBL2152287	-7.3
CHEMBL2152288	-7.1
CHEMBL2152289	-6.3
CHEMBL251795	-6.0
CHEMBL251796	-6.0
CHEMBL254050	-6.2
CHEMBL254267	-5.7
CHEMBL254555	-7.0
CHEMBL254895	-5.7
CHEMBL260092	-6.8
CHEMBL281948	-7.2
CHEMBL3109645	-5.5
CHEMBL3109646	-5.4
CHEMBL3298162	-7.1
CHEMBL3298164	-6.4
CHEMBL3298265	-6.3
CHEMBL3298267	-6.4
CHEMBL3298268	-6.3
CHEMBL3326006	-6.0
CHEMBL3408947	-7.6
CHEMBL3545365	-6.3
CHEMBL3582432	-6.3
CHEMBL3582439	-6.3
CHEMBL3582440	-6.6
CHEMBL3582441	-6.9
CHEMBL3582442	-7.1
CHEMBL3596892	-6.4
CHEMBL3639583	-6.0
CHEMBL3639603	-6.3
CHEMBL3639748	-6.0
CHEMBL365585	-7.5
CHEMBL3659494	-5.9
CHEMBL3659496	-6.6
CHEMBL3659497	-5.7
CHEMBL3659498	-6.1
CHEMBL3659499	-5.7
CHEMBL3659500	-6.1
CHEMBL3659501	-5.9
CHEMBL3659502	-6.1
CHEMBL3661461	-6.9
CHEMBL3661462	-6.8
CHEMBL3661485	-5.7
CHEMBL3661490	-6.0
CHEMBL3661491	-6.2
CHEMBL3661492	-6.3
CHEMBL3661502	-6.2
CHEMBL3661597	-6.5
CHEMBL3661606	-7.3
CHEMBL3661616	-6.2
CHEMBL3661627	-6.4
CHEMBL3666246	-6.1
CHEMBL3666248	-6.9
CHEMBL3666249	-6.7
CHEMBL3666254	-6.3
CHEMBL3666256	-6.0
CHEMBL3666257	-6.0
CHEMBL3666259	-6.6
CHEMBL3666262	-6.2
CHEMBL3666395	-6.8
CHEMBL3666427	-6.2
CHEMBL3666440	-6.1
CHEMBL3671129	-5.9
CHEMBL3671130	-6.3
CHEMBL3671131	-6.7
CHEMBL3671132	-6.3
CHEMBL3671133	-6.2
CHEMBL3671134	-6.9
CHEMBL3671135	-6.1
CHEMBL3671136	-6.2
CHEMBL3671137	-6.2
CHEMBL3671138	-6.3
CHEMBL3671141	-6.1
CHEMBL3671142	-6.0
CHEMBL3671143	-6.1
CHEMBL3671144	-5.9
CHEMBL3671145	-6.4
CHEMBL3671148	-6.3
CHEMBL3671149	-6.0
CHEMBL3671150	-6.4
CHEMBL3671151	-6.2
CHEMBL3671152	-6.2
CHEMBL3671153	-6.3
CHEMBL3671154	-5.8
CHEMBL3671156	-5.8
CHEMBL3671157	-5.8
CHEMBL3671318	-5.9
CHEMBL3671320	-7.1
CHEMBL3671388	-6.8
CHEMBL3671396	-6.2
CHEMBL3671398	-6.4
CHEMBL3671402	-6.7
CHEMBL3671403	-5.7
CHEMBL3671404	-6.6
CHEMBL3671405	-6.2
CHEMBL3671406	-6.2
CHEMBL3671412	-5.5
CHEMBL3671414	-5.2
CHEMBL3671415	-6.1
CHEMBL3671419	-6.4
CHEMBL3671420	-6.1
CHEMBL3671421	-6.2
CHEMBL3671423	-5.7
CHEMBL3671425	-5.6
CHEMBL3671426	-5.6
CHEMBL3671427	-6.3
CHEMBL3671430	-6.2
CHEMBL3671431	-6.1
CHEMBL3671432	-6.4
CHEMBL3671435	-6.2
CHEMBL3671436	-6.2
CHEMBL3671437	-6.3
CHEMBL3671443	-6.9
CHEMBL3671444	-7.2
CHEMBL3671447	-6.7
CHEMBL3671449	-6.0
CHEMBL3671460	-6.5
CHEMBL3671461	-6.4
CHEMBL3671467	-7.4
CHEMBL3671468	-6.7
CHEMBL3671469	-5.9
CHEMBL3671470	-6.3
CHEMBL3671471	-6.5
CHEMBL3671472	-6.5
CHEMBL3673436	-6.2
CHEMBL3673438	-6.4
CHEMBL3673439	-6.5
CHEMBL3673440	-6.3
CHEMBL3673442	-6.8
CHEMBL3673452	-6.2
CHEMBL3673453	-6.5
CHEMBL3673461	-6.1
CHEMBL3673462	-6.1
CHEMBL3673463	-6.6
CHEMBL3673476	-6.2
CHEMBL3673477	-6.2
CHEMBL3673478	-6.6
CHEMBL3673479	-6.3
CHEMBL3673480	-6.0
CHEMBL3673481	-6.5
CHEMBL3673482	-6.3
CHEMBL3673483	-6.1
CHEMBL3673486	-5.7
CHEMBL3673487	-5.8
CHEMBL3673488	-6.2
CHEMBL3673489	-6.6
CHEMBL3675908	-6.4
CHEMBL3675910	-6.2
CHEMBL3675911	-6.0
CHEMBL3675912	-6.7
CHEMBL3675913	-6.3
CHEMBL3675914	-5.8
CHEMBL3675915	-6.0
CHEMBL3675916	-6.1
CHEMBL3675917	-5.7
CHEMBL3675918	-6.1
